agn_id,cus_id,licence_no,commission,zipcode,agn_phno,SSN
25329,1174,8774706,782,9426,7972392903,653545862
53242,1308,1756748,584,53278,5832348972,589788570
64044,1408,8929657,557,89478,3578908937,578398693
65274,1678,4515093,502,21033,6427923279,562385344
66928,1686,6315687,663,69645,8639723879,395668595
67021,1728,4511136,681,41829,7913482358,756062216
81430,1810,6995759,756,69396,2356747457,642176820
92382,1820,9517111,539,92773,7424633357,829943802
97031,1905,2095258,526,13680,9001423466,472318228
98196,2080,2583618,675,17789,4364736842,889059579
25329,2158,8774706,782,9426,7972392903,653545862
53242,2266,1756748,584,53278,5832348972,589788570
64044,2300,8929657,557,89478,3578908937,578398693
65274,2407,4515093,502,21033,6427923279,562385344
66928,2441,6315687,663,69645,8639723879,395668595
67021,2463,4511136,681,41829,7913482358,756062216
81430,2533,6995759,756,69396,2356747457,642176820
92382,3009,9517111,539,92773,7424633357,829943802
97031,3109,2095258,526,13680,9001423466,472318228
98196,3123,2583618,675,17789,4364736842,889059579
25329,3146,8774706,782,9426,7972392903,653545862
53242,3212,1756748,584,53278,5832348972,589788570
64044,3391,8929657,557,89478,3578908937,578398693
65274,3473,4515093,502,21033,6427923279,562385344
66928,3519,6315687,663,69645,8639723879,395668595
67021,3525,4511136,681,41829,7913482358,756062216
81430,3568,6995759,756,69396,2356747457,642176820
92382,3599,9517111,539,92773,7424633357,829943802
97031,3612,2095258,526,13680,9001423466,472318228
98196,3631,2583618,675,17789,4364736842,889059579
25329,3731,8774706,782,9426,7972392903,653545862
53242,3872,1756748,584,53278,5832348972,589788570
64044,3952,8929657,557,89478,3578908937,578398693
65274,4091,4515093,502,21033,6427923279,562385344
66928,4307,6315687,663,69645,8639723879,395668595
67021,4422,4511136,681,41829,7913482358,756062216
81430,4504,6995759,756,69396,2356747457,642176820
92382,4581,9517111,539,92773,7424633357,829943802
97031,4680,2095258,526,13680,9001423466,472318228
98196,4698,2583618,675,17789,4364736842,889059579
25329,4819,8774706,782,9426,7972392903,653545862
53242,4821,1756748,584,53278,5832348972,589788570
64044,5076,8929657,557,89478,3578908937,578398693
65274,5214,4515093,502,21033,6427923279,562385344
66928,5279,6315687,663,69645,8639723879,395668595
67021,5407,4511136,681,41829,7913482358,756062216
81430,5590,6995759,756,69396,2356747457,642176820
92382,5657,9517111,539,92773,7424633357,829943802
97031,5813,2095258,526,13680,9001423466,472318228
98196,5869,2583618,675,17789,4364736842,889059579
25329,6002,8774706,782,9426,7972392903,653545862
53242,6041,1756748,584,53278,5832348972,589788570
64044,6180,8929657,557,89478,3578908937,578398693
65274,6288,4515093,502,21033,6427923279,562385344
66928,6307,6315687,663,69645,8639723879,395668595
67021,6473,4511136,681,41829,7913482358,756062216
81430,6742,6995759,756,69396,2356747457,642176820
92382,6752,9517111,539,92773,7424633357,829943802
97031,6799,2095258,526,13680,9001423466,472318228
98196,6876,2583618,675,17789,4364736842,889059579
25329,6906,8774706,782,9426,7972392903,653545862
53242,6968,1756748,584,53278,5832348972,589788570
64044,7104,8929657,557,89478,3578908937,578398693
65274,7118,4515093,502,21033,6427923279,562385344
66928,7349,6315687,663,69645,8639723879,395668595
67021,7407,4511136,681,41829,7913482358,756062216
81430,7465,6995759,756,69396,2356747457,642176820
92382,7591,9517111,539,92773,7424633357,829943802
97031,7635,2095258,526,13680,9001423466,472318228
98196,7831,2583618,675,17789,4364736842,889059579
25329,7840,8774706,782,9426,7972392903,653545862
53242,7943,1756748,584,53278,5832348972,589788570
64044,8081,8929657,557,89478,3578908937,578398693
65274,8130,4515093,502,21033,6427923279,562385344
66928,8249,6315687,663,69645,8639723879,395668595
67021,8421,4511136,681,41829,7913482358,756062216
81430,9187,6995759,756,69396,2356747457,642176820
92382,9388,9517111,539,92773,7424633357,829943802
97031,9481,2095258,526,13680,9001423466,472318228
98196,9581,2583618,675,17789,4364736842,889059579
