cus_id,policy_no,SSN,DOB,cus_fname,cus_lname,cus_phno,cus_addr
1174,10002,632203097,6/26/1991,Monica,Wintheiser,5143483971,"2774, Howe Park Apt. 956, Gradyport, OH 33915-1"
1308,10005,985101456,4/15/2003,Carmelo,McLaughlin,9234258692,"2770, Conroy Park, Funkburgh, SC 80933-9866"
1408,10001,907440790,9/22/2006,Destiney,Grant,3748659288,"05224, Ortiz Vista Apt. 572, East Brandy, MS 02"
1678,10003,788784805,5/10/1972,Fanny,Kunze,9531183278,"406, Silas Avenue Apt. 990, Lake Lysanne, VA 51"
1686,10005,343385251,3/12/1994,Harvey,Spencer,8744996132,"9005, Olson Ranch Apt. 136, North Glen, WA 0195"
1728,10003,526588600,3/29/2009,Ali,Bode,3294895996,"97672, Zachary Inlet, Townetown, CA 47298"
1810,10005,933657457,3/14/2006,Ignacio,Rau,3993960471,"37062, Adams Mount, Lake Gabe, MT 08508-4589"
1820,10005,584358106,1/6/1997,Lauretta,Vandervort,6551741986,"3362, Adams Green Apt. 171, Lake Dessieton, NE "
1905,10003,706559754,11/26/1995,Abagail,Prohaska,6768276355,"937, Petra Estates Apt. 658, Lake Shannon, VA 9"
2080,10000,796892321,8/25/2013,Bertha,Durgan,1125679899,"6100, Feil Squares Apt. 333, Rosalindview, OR 7"
2158,10002,592383917,11/11/1978,Keeley,Bahringer,7117741648,"7825, Savanna Trace, West Jennyfer, MI 25299-82"
2266,10002,208814474,12/2/2013,Dolly,Smith,3046594976,"3873, Kub Isle Suite 352, Jacobifort, UT 07124-"
2300,10005,316451603,11/21/1983,Jeffery,Hoppe,3922773927,"9534, Nienow Heights, Dareburgh, TX 07841"
2407,10000,334763916,1/14/1996,Ismael,Corwin,9053089835,"9884, Spencer Viaduct, Pollichshire, MS 53549-3"
2441,10003,148669456,10/5/2006,Destiny,Torphy,4105956804,"5871, Windler Brook, Franeckishire, WA 15273-24"
2463,10002,371728686,3/24/1974,Mittie,Prohaska,1759400934,"07505, Farrell Crossing, Millerborough, DE 3801"
2533,10003,562405809,10/7/1979,Jose,Jones,4520654246,"988, Elva Street, Casperchester, WA 18014-1534"
3009,10000,444189563,5/20/1972,Hiram,Nicolas,9519563932,"968, Brekke Cape, Meganetown, RI 99111-7973"
3109,10006,664390216,7/23/2022,Libbie,Yundt,2174763631,"388, Morissette Glen, Ashleeview, HI 51243-6207"
3123,10001,541919273,12/21/2009,Lucio,DuBuque,7075665588,"857, Collier Ridges, Olsonton, NM 85596"
3146,10006,802524696,8/7/2019,Lucie,Gutkowski,2989029427,"090, Lamar Radial, West Davinborough, AR 87182"
3212,10004,754048244,3/15/1994,Rod,Steuber,7099306050,"80318, Thiel Spurs Apt. 489, Valliestad, SC 238"
3391,10006,411281914,2/19/2013,Julia,Robel,5336071888,"917, Bashirian Shoals, Nedramouth, DC 13206-306"
3473,10000,642454915,6/14/1999,Heber,Hackett,8448564695,"9729, Keanu Walks Suite 765, Willmsmouth, MI 37"
3519,10002,284282877,1/11/1980,Demond,Shields,1928352249,"477, Meredith River Apt. 198, Marquardtton, SD "
3525,10006,276892293,9/10/2017,Mazie,Windler,4047556556,"163, Leo Circles, North Maximillian, NH 89592"
3568,10004,654096588,1/30/2003,Dakota,Tremblay,3117424895,"9103, Hermann Squares, Port Antonetta, TN 45943"
3599,10000,607794772,9/30/2010,Bernita,Mante,5285032254,"4932, Royal Court, South Hershel, IL 21880"
3612,10001,505624273,10/12/2011,Trycia,Ankunding,5785013411,"68999, Matteo Ways Apt. 184, Ernserberg, WI 916"
3631,10002,281327230,5/17/2012,Anissa,Koss,8620711007,"0922, Stark Streets, Stehrmouth, WV 43096"
3731,10000,958295295,7/2/1995,Mitchell,Langworth,8967041297,"63447, Winfield Branch Suite 047, Croninberg, D"
3872,10000,641199879,7/13/1976,Isai,Thompson,4960081274,"340, Bartoletti Trafficway Suite 676, South Mar"
3952,10000,745007327,9/30/1990,Marian,Hartmann,5241723300,"736, King Falls Apt. 819, Lindgrenfort, AR 2263"
4091,10004,161037231,9/23/2004,Rubye,Walker,1980432672,"296, O'Reilly Meadows, Hellerport, HI 74034"
4307,10001,458490930,8/28/1995,Forrest,Fay,8335790505,"108, Armstrong Camp Suite 146, Christburgh, MA "
4422,10005,821376232,10/4/1987,Jeremie,Dickens,7522654015,"820, Nannie Plaza, Kohlerton, NM 27247"
4504,10002,284647936,8/20/1972,Stewart,Macejkovic,8844852821,"251, Horacio Lock, Volkmanmouth, MT 91908"
4581,10004,733629422,8/15/1985,Parker,Schamberger,5566131874,"2041, Quitzon Extension, South Schuylerstad, OR"
4680,10003,513917012,8/14/1983,Virginie,Reilly,9534248155,"35219, Paris Trail Apt. 731, West Elliott, AZ 7"
4698,10000,200772200,5/19/2005,Shanie,Hoeger,1159934289,"80134, Alexandrine Stream, McDermottport, MS 61"
4819,10001,577706084,3/5/2014,Tito,Nader,2844296805,"2299, Aidan Road Apt. 709, Lake Genoveva, CT 85"
4821,10003,179480947,6/15/1975,Melisa,Hammes,5300484896,"0513, Alf Mills, West Wilson, MI 61514-7890"
5076,10006,190465748,7/13/2019,Jamir,Weimann,5065392947,"423, Devonte Villages, Adalineberg, MT 18644"
5214,10004,401763196,4/3/1987,Phyllis,Johnson,9328337575,"65174, Thelma Mount, Kerlukeberg, NC 67539"
5279,10004,292503382,5/23/2019,Terrance,Runolfsdottir,6944061222,"317, Emiliano Tunnel Suite 674, Stromanburgh, M"
5407,10003,586760571,12/27/1980,Mariela,Predovic,2103534159,"0759, Kacie Manor Suite 420, New Retafurt, DE 5"
5590,10006,425462481,3/4/1992,Tierra,Auer,9623700135,"99364, Zella Wall Apt. 635, North Stantonton, T"
5657,10005,843043513,5/12/2004,Jaden,Volkman,2286021137,"3157, Ward Views Suite 359, New Juana, UT 20694"
5813,10002,803773214,11/13/2001,Elvera,Williamson,7042402089,"025, Heaven Inlet, East Coleview, OH 61238-7067"
5869,10002,893606375,4/7/2004,Andre,Considine,7412713113,"4679, Stanton Fields Apt. 017, O'Keefetown, UT "
6002,10001,919093861,11/10/2012,Hobart,Eichmann,5277890173,"63543, Howell Avenue Apt. 451, New Elroy, NH 20"
6041,10006,277083241,3/15/2013,Jairo,Witting,1843347392,"456, Bradtke Mission Suite 119, Champlinberg, D"
6180,10006,200527747,11/4/1991,Raymond,Renner,5266163098,"0725, Augustus Radial, Greenholtside, OK 59344"
6288,10001,690221489,8/5/1998,Freida,Sporer,2040055161,"96893, Reichel Port, Lake Elisaland, ND 61012"
6307,10001,362624836,2/13/1977,Emelia,Little,3964358770,"1252, Wuckert Plaza, Balistreribury, WV 63586-4"
6473,10003,326041840,1/26/2018,Saige,Stiedemann,8628119876,"27318, Rice Court, Ondrickaburgh, IL 76892"
6742,10004,550840792,6/5/1979,Evelyn,Schinner,7981715538,"8194, Vesta Summit, New Abbie, WY 54287-2011"
6752,10001,422507280,3/3/2012,Lizzie,Brown,4849438505,"4086, Cole Throughway Apt. 181, North Francisca"
6799,10000,882905813,10/20/1996,Jo,Abernathy,3725146738,"1437, Wehner Isle Apt. 925, Kutchfurt, WA 48692"
6876,10006,422581279,8/7/1989,Mia,Hudson,5831713432,"46819, Boyer Center, Kshlerinmouth, AL 88124"
6906,10001,301045267,7/3/1984,Trisha,Rohan,1737922806,"2920, Hillard Crest, Lake Leora, OK 41140-5424"
6968,10000,863214728,3/12/1997,Derick,Beahan,3513444365,"6523, Therese Inlet, New Mckenna, KY 42395"
7104,10001,881067936,1/25/2022,Dedric,Reilly,8917189236,"3917, Kreiger Mount Apt. 443, Frederickfurt, CO"
7118,10002,261344431,1/20/2002,Eden,Feil,3882410839,"669, Jabari Lights Apt. 807, McKenzieborough, U"
7349,10006,194519827,2/23/2000,Ruthe,Tremblay,3572521975,"09517, Emmerich Square Apt. 355, West Stanfordb"
7407,10003,109406756,11/24/1994,Connor,Sanford,3831872879,"175, Brown Garden Suite 133, South Marcellus, T"
7465,10003,889466103,10/27/1972,Berenice,D'Amore,8174163045,"4897, Keebler Springs Apt. 721, Yasmeentown, AZ"
7591,10001,136465039,7/13/2002,Pearlie,Funk,1456091902,"463, Ervin Lock Apt. 827, North Andreanneside, "
7635,10006,412717635,11/29/2019,Skye,Walker,4929595094,"487, Brenden Inlet, Johnstonview, OR 63744-8797"
7831,10005,219169114,12/7/1998,Florine,Ortiz,8094176563,"1240, Bogan Village Suite 218, South Rodolfo, N"
7840,10005,822410869,3/13/1975,Verdie,Hermiston,5044227858,"292, Colby Skyway Suite 349, Lake Olivermouth, "
