emp_id,emp_email,SSN,emp_phno,emp_fname,emp_lname
12123,ankunding.ismael@example.net,901924918,3526348937,Bernie,Welch
14877,grunolfsdottir@example.com,651305906,6758098979,Orlando,Williamson
19770,hoppe.eli@example.net,553378614,2137097639,Vincent,Towne
21259,sonya73@example.net,991817325,7368808347,Felix,Emard
21422,wfeeney@example.com,963373031,8517542309,Maye,Morar
21525,rozella.runte@example.org,194756089,9914834436,German,Turner
28713,rippin.titus@example.org,494764575,1854082452,Dillon,Howell
38789,lorine.kuvalis@example.com,815474177,4267792350,Maci,Rutherford
78741,littel.chasity@example.org,660866835,4406072038,Raquel,Macejkovic
88066,vmosciski@example.org,374195533,4462122905,Jace,Wolff
89792,lortiz@example.net,793281742,1147992897,Bobbie,VonRueden
93509,marty.smith@example.net,301478573,6603732975,Gideon,Daniel
96389,prudence57@example.com,930121849,7352982034,Mazie,Terry
